slug,date,open,high,low,close,currency
GBP/EGP,03-01-2010,8.8301,8.8946,8.6627,8.739,EGP
GBP/EGP,10-01-2010,8.7528,8.8726,8.7397,8.8238,EGP
GBP/EGP,17-01-2010,8.8059,8.9188,8.7518,8.7682,EGP
GBP/EGP,24-01-2010,8.7703,8.9091,8.7125,8.747,EGP
GBP/EGP,31-01-2010,8.694,8.7837,8.5097,8.5571,EGP
GBP/EGP,07-02-2010,8.5277,8.6586,8.5064,8.6112,EGP
GBP/EGP,14-02-2010,8.6051,8.683,8.4244,8.4983,EGP
GBP/EGP,21-02-2010,8.4968,8.555,8.3147,8.3725,EGP
GBP/EGP,28-02-2010,8.3197,8.3481,8.1076,8.301,EGP
GBP/EGP,07-03-2010,8.298,8.3339,8.1404,8.3104,EGP
GBP/EGP,14-03-2010,8.3027,8.4257,8.207,8.2283,EGP
GBP/EGP,21-03-2010,8.2185,8.3039,8.1428,8.2023,EGP
GBP/EGP,28-03-2010,8.2149,8.4243,8.1835,8.3726,EGP
GBP/EGP,04-04-2010,8.4019,8.4936,8.3257,8.4842,EGP
GBP/EGP,11-04-2010,8.513,8.5616,8.4506,8.4736,EGP
GBP/EGP,18-04-2010,8.4308,8.5745,8.3741,8.5267,EGP
GBP/EGP,25-04-2010,8.5282,8.5929,8.4044,8.4889,EGP
GBP/EGP,02-05-2010,8.5126,8.5164,8.1053,8.2894,EGP
GBP/EGP,09-05-2010,8.311,8.4339,8.1297,8.1555,EGP
GBP/EGP,16-05-2010,8.1523,8.1873,7.9974,8.1704,EGP
GBP/EGP,23-05-2010,8.1624,8.2701,8.0613,8.1875,EGP
GBP/EGP,30-05-2010,8.1652,8.3653,8.163,8.193,EGP
GBP/EGP,06-06-2010,8.1775,8.3787,8.1374,8.2561,EGP
GBP/EGP,13-06-2010,8.2619,8.4581,8.2551,8.4241,EGP
GBP/EGP,20-06-2010,8.4365,8.5697,8.3357,8.5617,EGP
GBP/EGP,27-06-2010,8.5495,8.6753,8.4693,8.6587,EGP
GBP/EGP,04-07-2010,8.6461,8.6804,8.5719,8.583,EGP
GBP/EGP,11-07-2010,8.5742,8.8143,8.5131,8.7102,EGP
GBP/EGP,18-07-2010,8.7068,8.8105,8.6171,8.8019,EGP
GBP/EGP,25-07-2010,8.7856,8.964,8.7804,8.9417,EGP
GBP/EGP,01-08-2010,8.9532,9.0904,8.9362,9.0502,EGP
GBP/EGP,08-08-2010,9.0598,9.0764,8.8567,8.8896,EGP
GBP/EGP,15-08-2010,8.8769,8.9543,8.8022,8.8446,EGP
GBP/EGP,22-08-2010,8.8486,8.9006,8.7555,8.8545,EGP
GBP/EGP,29-08-2010,8.859,8.887,8.7427,8.8135,EGP
GBP/EGP,05-09-2010,8.8018,8.8638,8.7227,8.7582,EGP
GBP/EGP,12-09-2010,8.7583,8.9742,8.7543,8.9161,EGP
GBP/EGP,19-09-2010,8.9303,9.0359,8.8332,9.0222,EGP
GBP/EGP,26-09-2010,9.0106,9.0634,8.9177,9.0049,EGP
GBP/EGP,03-10-2010,8.9941,9.1244,8.9622,9.0923,EGP
GBP/EGP,10-10-2010,9.0865,9.1807,8.9841,9.1157,EGP
GBP/EGP,17-10-2010,9.1061,9.1456,8.9749,9.0333,EGP
GBP/EGP,24-10-2010,9.0205,9.2671,9.0193,9.263,EGP
GBP/EGP,31-10-2010,9.26,9.3615,9.2156,9.2482,EGP
GBP/EGP,07-11-2010,9.25,9.3122,9.1649,9.2796,EGP
GBP/EGP,14-11-2010,9.2824,9.2874,9.1037,9.1942,EGP
GBP/EGP,21-11-2010,9.1874,9.2469,8.9946,9.0055,EGP
GBP/EGP,28-11-2010,9.0044,9.1363,8.9626,9.1299,EGP
GBP/EGP,05-12-2010,9.1106,9.1838,9.0481,9.1584,EGP
GBP/EGP,12-12-2010,9.159,9.2232,8.9558,9.0055,EGP
GBP/EGP,19-12-2010,8.9848,9.0544,8.9145,8.9675,EGP
GBP/EGP,26-12-2010,8.961,9.0944,8.9087,9.0567,EGP
GBP/EGP,02-01-2011,9.0341,9.0738,8.9344,9.0236,EGP
GBP/EGP,09-01-2011,9.0011,9.2147,8.9749,9.1991,EGP
GBP/EGP,16-01-2011,9.1988,9.3569,9.18,9.298,EGP
GBP/EGP,23-01-2011,9.2899,9.3676,9.1602,9.2915,EGP
GBP/EGP,30-01-2011,9.2843,9.5357,9.2632,9.4332,EGP
GBP/EGP,06-02-2011,9.5449,9.631,9.3841,9.4151,EGP
GBP/EGP,13-02-2011,9.395,9.5614,9.3914,9.5508,EGP
GBP/EGP,20-02-2011,9.5554,9.5796,9.4315,9.4873,EGP
GBP/EGP,27-02-2011,9.4797,9.6364,9.4556,9.6014,EGP
GBP/EGP,06-03-2011,9.595,9.647,9.446,9.5111,EGP
GBP/EGP,13-03-2011,9.5109,9.6425,9.4689,9.6313,EGP
GBP/EGP,20-03-2011,9.618,9.7513,9.523,9.5445,EGP
GBP/EGP,27-03-2011,9.5134,9.6423,9.4809,9.6029,EGP
GBP/EGP,03-04-2011,9.603,9.8011,9.5768,9.7742,EGP
GBP/EGP,10-04-2011,9.7672,9.8004,9.679,9.7257,EGP
GBP/EGP,17-04-2011,9.7052,9.8854,9.6263,9.8313,EGP
GBP/EGP,24-04-2011,9.8333,9.9623,9.772,9.9336,EGP
GBP/EGP,01-05-2011,9.9335,9.954,9.7164,9.7298,EGP
GBP/EGP,08-05-2011,9.7306,9.8123,9.581,9.6151,EGP
GBP/EGP,15-05-2011,9.5972,9.7083,9.5795,9.6631,EGP
GBP/EGP,22-05-2011,9.657,9.8383,9.5545,9.8341,EGP
GBP/EGP,29-05-2011,9.7982,9.8447,9.6727,9.7632,EGP
GBP/EGP,05-06-2011,9.7532,9.7889,9.6361,9.6495,EGP
GBP/EGP,12-06-2011,9.6462,9.7748,9.5572,9.632,EGP
GBP/EGP,19-06-2011,9.6073,9.6718,9.4969,9.5141,EGP
GBP/EGP,26-06-2011,9.5112,9.6241,9.482,9.5953,EGP
GBP/EGP,03-07-2011,9.573,9.6193,9.4877,9.5665,EGP
GBP/EGP,10-07-2011,9.5417,9.6497,9.3875,9.6077,EGP
GBP/EGP,17-07-2011,9.5911,9.7427,9.525,9.7202,EGP
GBP/EGP,24-07-2011,9.7321,9.8142,9.6839,9.7834,EGP
GBP/EGP,31-07-2011,9.7604,9.8129,9.6567,9.7573,EGP
GBP/EGP,07-08-2011,9.8077,9.8168,9.5961,9.703,EGP
GBP/EGP,14-08-2011,9.7034,9.9174,9.6847,9.8232,EGP
GBP/EGP,21-08-2011,9.8232,9.9114,9.6555,9.7571,EGP
GBP/EGP,28-08-2011,9.7232,9.7972,9.5998,9.655,EGP
GBP/EGP,04-09-2011,9.6197,9.6471,9.4711,9.4977,EGP
GBP/EGP,11-09-2011,9.4703,9.4996,9.3431,9.406,EGP
